EST,Temperature,DewPoint,Humidity,Sea Level PressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
04/04/2026,35,33,90,30.19,7,8,0,9,,135
04/05/2026,30,27,66,29.96,7,8,1.0,3,Rain,214
04/06/2026,35,28,87,29.85,9,4,T,3,,95
04/07/2026,31,26,72,29.65,10,8,0.5,3,Rain,6
04/08/2026,28,26,84,30.09,10,13,0.2,8,Rain,24
04/09/2026,35,33,74,29.6,8,9,0.2,9,Rain,333
04/10/2026,27,22,50,30.08,6,9,0.2,5,Rain,12
04/11/2026,27,25,57,29.55,7,10,0.2,9,Rain,269
04/12/2026,34,31,88,30.33,6,13,0.5,5,Rain,1
04/13/2026,40,38,53,30.35,9,5,1.0,6,Rain,215
04/14/2026,27,23,51,30.22,8,11,0.2,2,Rain,323
04/15/2026,32,30,88,29.63,7,2,0,0,,91
04/16/2026,35,33,77,30.18,5,8,0,3,,212
04/17/2026,32,22,77,30.14,6,6,0.2,2,Rain,271
04/18/2026,30,24,85,29.62,8,4,1.0,5,Rain,328
04/19/2026,40,32,61,30.34,10,4,0,2,,193
04/20/2026,31,26,57,30.24,7,4,0,7,,50
04/21/2026,39,36,80,30.2,6,8,0.2,6,Rain,234
04/22/2026,36,30,52,29.61,10,10,0,6,,192
04/23/2026,37,30,79,29.64,6,2,0,3,,96
04/24/2026,33,23,77,30.12,5,11,1.0,1,Rain,45
04/25/2026,34,27,77,29.77,6,9,T,6,,122
04/26/2026,35,28,55,30.19,9,5,0.2,9,Rain,201
04/27/2026,38,33,82,30.04,9,11,1.0,7,Rain,209
04/28/2026,31,28,52,30.23,8,7,0,0,,209
04/29/2026,33,23,69,29.65,10,4,0,5,,46
04/30/2026,35,30,72,30.17,8,10,T,8,,260
05/01/2026,29,26,54,30.16,10,13,0.2,5,Rain,39
05/02/2026,38,28,81,29.71,6,11,0,7,,28
05/03/2026,35,28,78,30.22,9,6,T,0,,198
05/04/2026,36,29,45,30.24,9,13,0.2,4,Rain,184
05/05/2026,28,23,73,29.96,8,8,1.0,5,Rain,40
05/06/2026,34,24,87,30.09,9,13,0,9,,154
05/07/2026,39,35,46,29.95,5,12,1.0,3,Rain,204
05/08/2026,37,32,64,29.92,7,4,0.2,8,Rain,209
05/09/2026,35,33,89,30.32,5,10,0.2,2,Rain,147
05/10/2026,34,32,41,30.38,7,3,0,2,,90
05/11/2026,35,32,40,30.3,5,7,0.5,4,Rain,290
05/12/2026,34,26,67,29.67,10,10,0,7,,258
05/13/2026,30,24,85,29.86,9,2,1.0,9,Rain,3
05/14/2026,36,31,80,29.93,6,10,0,0,,240
05/15/2026,29,23,41,30.0,5,8,0.2,7,Rain,344
05/16/2026,39,34,76,29.92,7,3,1.0,5,Rain,165
05/17/2026,26,19,71,29.99,9,5,0.5,0,Rain,73
05/18/2026,28,22,78,30.34,8,7,T,1,,255
05/19/2026,27,20,69,30.09,5,15,0,4,,118
05/20/2026,26,24,64,30.24,9,14,1.0,8,Rain,74
05/21/2026,25,16,77,30.25,8,15,0,7,,255
05/22/2026,25,15,67,29.6,6,13,T,9,,191
05/23/2026,27,20,56,29.88,7,8,T,5,,275
